index,predicted_value,actual_value
1156.0,48.0796027778,79.4541666667
1157.0,51.5323722231,51.4666666667
1158.0,50.7597222222,41.0333333333
1159.0,40.0672263889,45.8791666667
1160.0,60.2119527778,29.625
1161.0,37.5502916667,12.5958333333
1162.0,28.8146097231,36.4791666667
1163.0,42.0234597222,30.8583333333
1164.0,33.1363685185,67.1458333333
1165.0,41.4340236111,43.3472222222
1166.0,47.1871236111,51.0916666667
1167.0,39.6495833333,37.2486111111
1168.0,47.8183944444,38.2208333333
1169.0,32.3195592593,32.275
1170.0,42.3808805556,36.6291666667
1171.0,39.6964055556,44.6958333333
1172.0,60.8007347222,47.5
1173.0,44.1386888889,37.1875
1174.0,43.6895319453,48.7958333333
1175.0,49.5434944453,41.8375
1176.0,49.4670791667,29.1
1177.0,36.7797888889,31.6722222222
1178.0,31.9892615741,44.7875
1179.0,46.7032333333,31.4125
1180.0,27.968287037,46.0708333333
1181.0,38.7801666667,23.7513888889
1182.0,41.9627777819,30.0916666667
1183.0,24.5165185185,28.025
1184.0,30.4126953704,23.55
1185.0,22.5827574074,14.2527777778
1186.0,27.4949916667,18.7
1187.0,25.3329944444,27.3625
1188.0,29.9250861111,35.4291666667
1189.0,23.0426287037,23.2847222222
1190.0,23.7102861111,41.0833333333
1191.0,38.0888152778,36.7083333333
1192.0,44.7590777778,43.575
1193.0,34.8847444444,17.6
1194.0,37.8978097222,35.4083333333
1195.0,38.9264027778,38.25
1196.0,45.0082527778,51.8333333333
1197.0,32.7726583333,44.4569444444
1198.0,47.5630597231,69.7083333333
1199.0,53.2390416725,49.7041666667
1200.0,58.9804694478,63.975
1201.0,39.0087694444,40.2152777778
1202.0,45.6317444444,59.4083333333
1203.0,45.3542888889,49.9166666667
1204.0,54.8607138889,63.3791666667
1205.0,40.0900305556,54.7666666667
1206.0,53.704775,58.7083333333
1207.0,48.7078638889,49.3791666667
1208.0,54.1737027778,82.3958333333
1209.0,64.4480277811,49.4902777778
1210.0,50.4460888889,41.25
1211.0,36.8626402778,30.6416666667
1212.0,39.1307638906,54.0291666667
1213.0,41.4184305556,30.5833333333
1214.0,39.8823416717,34.6625
1215.0,28.2825148148,38.8958333333
1216.0,45.5394527778,46.3083333333
1217.0,38.5851138889,40.2527777778
1218.0,47.7384712963,60.5708333333
1219.0,42.2362527778,66.075
1220.0,60.0651861119,65.3208333333
1221.0,41.3254791667,42.2402777778
1222.0,47.3918166667,47.5458333333
1223.0,49.006725,49.2583333333
1224.0,53.8147902778,33.05
1225.0,34.0846166667,13.0958333333
1226.0,30.8554791683,29.5083333333
1227.0,35.1475236111,42.475
1228.0,44.0795444444,43.0
1229.0,23.7277805556,31.9263888889
1230.0,35.4531458333,41.2458333333
1231.0,43.9754027778,44.1541666667
1232.0,47.9650791667,43.9583333333
1233.0,36.6753402778,32.6333333333
1234.0,45.9127291675,47.4833333333
1235.0,51.6165986111,39.45
1236.0,51.5624416667,25.3166666667
1237.0,32.9640425926,19.2138888889
1238.0,29.3756652778,48.7416666667
1239.0,45.6430486111,34.6208333333
1240.0,30.5071185185,55.4041666667
1241.0,39.3081902778,27.575
1242.0,48.13435,18.4875
1243.0,27.5808675926,27.6208333333
1244.0,31.999387963,47.2041666667
1245.0,37.0046069444,30.8222222222
1246.0,26.9985851852,55.7541666667
1247.0,42.7377805556,46.7416666667
1248.0,62.5724388889,44.2
1249.0,34.2976458333,20.7527777778
1250.0,39.8017805631,41.125
1251.0,39.864975,50.775
1252.0,56.6515361111,60.8791666667
1253.0,42.7895263889,29.4041666667
1254.0,49.3161055564,44.6208333333
1255.0,42.2090333333,57.1916666667
1256.0,57.7774611119,61.1833333333
1257.0,40.0899236111,41.5444444444
1258.0,48.6949652786,49.2333333333
1259.0,47.2985902778,47.7333333333
1260.0,59.5737666667,37.4208333333
1261.0,31.7834972222,22.3791666667
1262.0,37.9418625142,44.7375
1263.0,48.0733569444,49.8083333333
1264.0,48.8885,47.6541666667
1265.0,31.8853361111,35.7736111111
1266.0,47.8038472256,42.8541666667
1267.0,45.1697944444,58.7791666667
1268.0,56.3831305556,61.4875
