index,predicted_value,actual_value
1162.0,59.824,65.1166666667
1163.0,46.6689652778,56.6625
1164.0,64.0613541667,91.9208333333
1165.0,44.0838090278,52.575
1166.0,57.5790277778,46.25
1167.0,43.1647847222,45.3541666667
1168.0,53.1177708333,35.675
1169.0,31.1905902778,16.0583333333
1170.0,33.4727916667,39.1958333333
1171.0,42.4104861111,43.1166666667
1172.0,47.3173055576,79.1708333333
1173.0,54.0083541646,49.15
1174.0,55.2946111153,60.3875
1175.0,43.2485833333,39.1083333333
1176.0,47.0415416667,33.8958333333
1177.0,30.6495902778,25.1
1178.0,45.9072986028,46.0666666667
1179.0,44.4291944444,49.7083333333
1180.0,52.3040208312,60.0166666667
1181.0,36.7505416688,52.3625
1182.0,46.3575486111,64.1333333333
1183.0,45.8608819444,56.0791666667
1184.0,59.763875,35.2958333333
1185.0,36.7811180556,37.1375
1186.0,36.538298609,52.2416666667
1187.0,53.7862708333,48.2541666667
1188.0,45.0314652778,50.6041666667
1189.0,42.3071458333,35.9291666667
1190.0,43.7078125,35.6416666667
1191.0,37.7028611111,36.1208333333
1192.0,42.1622222201,24.4125
1193.0,28.1886666667,11.625
1194.0,24.1862638889,13.55
1195.0,24.6124375,19.0
1196.0,20.1555833333,31.1166666667
1197.0,20.4950416708,17.6125
1198.0,30.6032291667,36.5958333333
1199.0,29.8241111111,31.7541666667
1200.0,41.7447152799,45.6458333333
1201.0,45.1410416667,15.8
1202.0,35.87275,54.15
1203.0,40.4593402778,47.1541666667
1204.0,60.2208749896,58.15
1205.0,37.5146041646,55.9125
1206.0,59.2882777778,72.4458333333
1207.0,56.2425486111,48.5791666667
1208.0,63.65446875,64.4416666667
1209.0,46.5898611111,46.925
1210.0,56.2144583333,66.0208333333
1211.0,47.7579375,61.05
1212.0,66.3447013889,70.1708333333
1213.0,53.2942083333,53.4666666667
1214.0,58.7698333333,75.5791666667
1215.0,57.6627083333,77.87916625
1216.0,63.5268854167,98.7958333333
1217.0,68.0478472222,66.8541666667
1218.0,64.02315625,50.5583333333
1219.0,30.8773298611,37.4708333333
1220.0,36.287375,57.0541666667
1221.0,45.854,30.1
1222.0,48.7650625,33.2416666667
1223.0,35.5447013889,38.3041666667
1224.0,41.7619166625,46.3958333333
