index,predicted_value,actual_value
1163.0,55.3037500396,54.225
1164.0,53.5179374896,56.5833333333
1165.0,58.0506944111,67.4208333333
1166.0,40.7332152618,34.8166666667
1167.0,54.205534716,30.2708333333
1168.0,33.1335208333,31.8875
1169.0,38.3239305576,53.2625
1170.0,48.2416041924,20.45
1171.0,40.7167152778,51.2375
1172.0,45.641138891,57.9791666667
1173.0,49.5713263889,80.0583333333
1174.0,45.1646110965,21.2625
1175.0,44.0643402778,37.325
1176.0,45.9125972222,38.7875
1177.0,43.4507916688,50.2416666667
1178.0,35.7576944444,21.925
1179.0,48.6967430556,43.425
1180.0,39.8476666688,43.1041666667
1181.0,44.8249305681,57.8333333333
1182.0,37.1702638889,35.225
1183.0,46.0170138889,56.7833333333
1184.0,54.3580208354,45.6541666667
1185.0,50.8069652757,33.425
1186.0,26.9606597243,14.3458333333
1187.0,27.1399305556,40.3416666667
1188.0,41.3546041667,34.3013888889
1189.0,29.5145625,51.925
1190.0,29.41825,29.25
1191.0,49.3381736111,48.6541666667
1192.0,46.0650763889,52.2666666667
1193.0,51.9697430535,41.0583333333
1194.0,26.3021180556,16.3958333333
1195.0,36.5358472222,16.4208333333
1196.0,24.0240833333,32.6208333333
1197.0,45.8211736111,37.15
1198.0,25.1662638889,31.5291666667
1199.0,33.1962986049,67.3083333333
1200.0,59.5775277778,39.3583333333
1201.0,49.8147291583,53.3416666667
1202.0,43.5262361153,20.7125
1203.0,40.2294930556,38.9208333333
1204.0,33.7896805556,37.3416666667
1205.0,46.0781736174,38.525
1206.0,23.5935694444,43.9833333333
1207.0,51.3606458333,63.2152777778
1208.0,51.0274166667,51.6791666667
1209.0,45.6505625021,58.5166666667
1210.0,47.9280625,26.5944444444
1211.0,36.2622916667,74.4083333333
1212.0,55.0976319299,46.375
1213.0,52.2080832951,62.6
1214.0,38.0822708333,34.4208333333
1215.0,54.2147500104,67.0833333333
1216.0,51.5878541646,64.6180555556
1217.0,61.0048958292,81.9472222222
1218.0,48.045423609,55.6125
1219.0,65.8748540861,69.8625
1220.0,45.6684583312,52.9541666667
1221.0,58.2412082306,67.32916625
1222.0,49.2015694194,30.7916666667
1223.0,52.6942291333,40.6708333333
1224.0,42.6407083333,40.9
1225.0,47.5615833354,32.2847222222
1226.0,23.9309583333,16.9208333333
1227.0,39.4825555556,47.55
1228.0,47.2801805556,51.2333333333
1229.0,46.4640347264,53.2291666667
1230.0,25.6353541646,32.7708333333
1231.0,53.925625,50.35
1232.0,51.0330138889,50.1541666667
1233.0,45.7042569444,38.9
1234.0,22.1610208333,8.73333333333
1235.0,25.6289930556,33.1041666667
1236.0,37.6944375,45.5375
1237.0,43.4625833292,43.7763888889
1238.0,20.5256875,23.2958333333
1239.0,37.47475,73.7333333333
1240.0,59.6832916521,61.275
1241.0,63.8199375083,38.4916666667
1242.0,24.6569861111,13.7
1243.0,41.9397430556,43.9833333333
1244.0,55.6850138889,53.6625
1245.0,53.3409166903,33.275
1246.0,21.1645208333,14.1833333333
1247.0,39.2292638889,59.1458333333
1248.0,61.7184583333,47.4083333333
1249.0,42.5781111132,64.3541666667
1250.0,31.8196597222,28.6430555556
1251.0,53.8952847222,18.6625
1252.0,25.9050694444,32.0958333333
1253.0,40.3534722222,51.4166666667
1254.0,43.538326391,28.1666666667
1255.0,28.2829166667,76.3541666667
1256.0,57.0207291667,55.8083333333
1257.0,58.2538402757,49.9291666667
1258.0,31.4464305556,15.9041666667
1259.0,36.6395555556,32.5833333333
1260.0,38.7327083333,56.2444444444
1261.0,54.4774305813,67.8875
1262.0,35.4551874924,25.8638888889
1263.0,40.5712986111,60.1291666667
1264.0,61.1646111049,68.7416666667
1265.0,68.7840972201,52.1958333333
1266.0,29.2423611049,33.1166666667
1267.0,61.7097291583,54.9
1268.0,63.3256041417,51.7541666667
1269.0,46.7011111035,36.3208333333
1270.0,27.2569166667,18.1458333333
1271.0,29.5395902778,46.9291666667
1272.0,54.1325,52.7555555556
1273.0,48.609173634,47.2666666667
1274.0,24.0784236111,30.6791666667
1275.0,56.0090138889,42.3666666667
1276.0,51.9464652986,59.3763888889
1277.0,54.2954375028,58.7958333333
1278.0,35.8547708167,34.2833333333
