index,predicted_value,actual_value
1162.0,45.5671018519,46.7166666667
1163.0,29.338587963,32.4
1164.0,45.9669768519,70.25
1165.0,32.0019027778,41.2402777778
1166.0,41.0108611111,32.2958333333
1167.0,34.4050138889,27.3083333333
1168.0,37.1344722222,27.1791666667
1169.0,20.2566435185,10.0319444444
1170.0,26.6577361111,24.9083333333
1171.0,28.9291111111,25.2916666667
1172.0,30.5802222222,65.8958333333
1173.0,40.2549305556,39.7680555556
1174.0,44.294586342,41.0125
1175.0,27.2082268519,26.5291666667
1176.0,31.9770925926,32.9958333333
1177.0,31.8097916667,26.0402777778
1178.0,37.886662037,30.875
1179.0,31.3181689815,30.1625
1180.0,36.2122800926,50.6583333333
1181.0,38.6149722222,46.4805555556
1182.0,40.230592587,41.7708333333
1183.0,33.5985987377,26.9833333333
1184.0,27.6388564815,24.4791666667
1185.0,20.7150138889,18.4625
1186.0,36.7674444444,31.6666666667
1187.0,33.6060162037,23.1
1188.0,34.8105231481,45.4291666667
1189.0,32.8194814815,20.0152777778
1190.0,34.5311851852,18.8958333333
1191.0,16.84525,18.4208333333
1192.0,25.487257716,16.4666666667
1193.0,14.4464305556,9.34583333333
1194.0,16.264566358,12.8916666667
1195.0,17.4159521605,13.9041666667
1196.0,17.4798263889,23.85
1197.0,16.0307962991,12.5875
1198.0,20.0917407407,25.475
1199.0,22.1523356481,24.3583333333
1200.0,38.296125,32.8041666667
1201.0,21.6872268519,13.0319444444
1202.0,26.96675,28.4
1203.0,27.9343356481,32.3541666667
1204.0,38.729537037,41.9583333333
1205.0,19.9569212963,39.1777777778
1206.0,41.7256218025,62.3666666667
1207.0,44.1328796296,26.6416666667
1208.0,29.8967175926,49.3208333333
1209.0,43.3502592593,32.3333333333
1210.0,43.3908472222,40.325
1211.0,25.6343348765,31.6375
1212.0,44.6656990741,49.7458333333
1213.0,33.8521712963,38.2888888889
1214.0,40.5437083278,42.9041666667
1215.0,30.2636851852,29.7333333333
1216.0,39.7964583278,66.7208333333
1217.0,42.9754675926,37.8444444444
1218.0,41.7648194333,27.1166666667
