index,predicted_value,actual_value
1155.0,57.4097494494,166.537500417
1156.0,56.3095729323,109.55416625
1157.0,101.138007522,59.5083333333
1158.0,65.0040766003,36.6166666667
1159.0,71.7161482763,27.0583333333
1160.0,50.1286633361,9.2375
1161.0,36.662203175,26.5208333333
1162.0,32.9122986507,26.9
1163.0,45.6629757424,127.8333325
1164.0,86.0030070319,48.125
1165.0,71.5136666365,77.85833375
1166.0,64.6731423434,28.0708333333
1167.0,82.6880105594,22.9416666667
1168.0,52.7926546712,11.9208333333
1169.0,45.9451633028,42.0916666667
1170.0,44.8260133269,41.1
1171.0,77.1815498404,44.1458333333
1172.0,47.3162882059,37.3916666667
1173.0,89.8080421641,76.62083375
1174.0,60.1741487227,31.1958333333
1175.0,53.4104606461,20.7416666667
1176.0,24.9566996497,19.1833333333
1177.0,27.588815966,39.1333333333
1178.0,37.9353535828,21.8375
1179.0,37.5731354135,38.0
1180.0,35.5469756892,18.2833333333
1181.0,45.2692985934,19.8958333333
1182.0,22.8175486101,17.2708333333
1183.0,25.4599982618,17.575
1184.0,17.5825468708,10.6291666667
1185.0,18.3923923632,12.7833333333
1186.0,15.5814947958,14.525
1187.0,19.0765781271,29.2625
1188.0,18.5311631944,14.5625
1189.0,23.9053784701,36.2375
1190.0,32.4125277642,27.3625
1191.0,51.0856145708,38.4458333333
1192.0,25.5305868014,9.77083333333
1193.0,33.3753420056,31.1125
1194.0,32.4489131924,38.4583333333
1195.0,47.6153472118,61.5291666667
1196.0,32.6644710356,90.5458329167
1197.0,73.2653853437,214.262500417
1198.0,64.0617459262,34.7416666667
1199.0,57.896772022,77.4125
1200.0,44.8907239865,56.3708333333
1201.0,51.3042048476,89.00416625
1202.0,40.1681151547,54.975
1203.0,63.9776262324,70.7
1204.0,46.4847407751,80.9291666667
1205.0,66.4592100976,104.92499875
1206.0,56.73191609,62.9999991667
1207.0,73.9943847786,296.920832917
1208.0,238.096068566,45.8375
1209.0,58.066632544,36.55
1210.0,45.8406383477,25.9666666667
1211.0,38.3483993139,48.6041666667
1212.0,50.7958177698,27.6875
1213.0,79.669784917,27.9458333333
1214.0,30.2843229187,27.2625
1215.0,41.9552257413,53.3
1216.0,56.4822153288,30.0416666667
1217.0,53.2278124969,134.412500417
1218.0,84.585500075,95.8791666667
1219.0,78.1843575826,120.579167083
1220.0,64.904930667,159.308333333
1221.0,64.1200381538,116.441667083
1222.0,57.0876875625,36.8333333333
1223.0,69.2569833634,19.1458333333
1224.0,30.6992511741,7.82916666667
1225.0,25.7435468479,23.9916666667
1226.0,27.3135520812,28.7791666667
1227.0,38.344107591,35.3291666667
1228.0,35.5321979187,22.1458333333
1229.0,40.2218854406,30.8291666667
1230.0,36.8666631924,30.2
1231.0,46.7687812312,29.4333333333
1232.0,33.1810937594,38.5
1233.0,52.5263888889,32.275
1234.0,45.5019930441,26.05
1235.0,32.3277083281,17.7708333333
1236.0,50.537224074,15.6333333333
1237.0,23.4005503368,39.8333333333
1238.0,41.7797673517,25.3958333333
1239.0,47.3184896219,42.95
1240.0,27.8083645771,19.9583333333
1241.0,39.0437719772,15.5458333333
1242.0,20.7431093656,23.3916666667
1243.0,26.0117569413,43.1625
1244.0,35.0233367951,23.9375
1245.0,25.0705069424,49.3333333333
1246.0,30.1083853979,37.3541666667
1247.0,63.0111099287,35.025
1248.0,27.323968749,18.7833333333
1249.0,31.6708611069,39.8375
1250.0,37.2576313574,36.6083333333
1251.0,42.6000700013,52.3875
1252.0,24.024972217,20.6833333333
1253.0,38.621829858,37.5625
1254.0,35.5132349537,42.0
1255.0,47.1161053116,102.0208325
1256.0,71.3033959146,76.0250004167
1257.0,62.5946394582,86.8041658333
1258.0,42.8941788174,51.6583333333
1259.0,42.3798940983,38.0958333333
1260.0,27.9170000031,19.6041666667
1261.0,33.9949861101,56.4208333333
1262.0,42.5560636876,50.2833333333
1263.0,52.0466649149,33.325
1264.0,35.5708952223,28.0291666667
1265.0,39.194792236,42.55
1266.0,43.2556626084,51.4583333333
1267.0,55.6175260406,62.7125
1268.0,48.4631018498,46.2041666667
1269.0,48.0737777736,32.8125
1270.0,37.5470642392,28.6333333333
1271.0,32.1143906167,24.1
1272.0,29.9279861049,10.3791666667
1273.0,23.978614574,22.9
1274.0,24.7356145833,20.1666666667
1275.0,27.2471041625,20.6
1276.0,15.9795520844,7.39583333333
1277.0,22.2121198073,19.0791666667
1278.0,22.5826927094,30.7625
1279.0,31.3499357576,42.4458333333
1280.0,35.649145824,43.625
1281.0,42.6643436917,60.9458333333
1282.0,51.4749079403,46.9916666667
1283.0,49.3357378556,166.9083325
1284.0,58.6430573396,122.975000417
1285.0,95.9558679868,131.187499167
1286.0,51.0262320883,189.920833333
1287.0,63.0731678157,148.49999875
1288.0,59.1020248697,66.4125
1289.0,66.4914532187,102.699999583
1290.0,52.1968981773,68.5708333333
1291.0,60.8057841581,71.6916666667
1292.0,60.257902859,65.75
1293.0,65.0854537808,64.4083333333
1294.0,61.6775521646,42.0541666667
1295.0,72.6445284565,30.7916666667
1296.0,49.5912824491,20.425
1297.0,35.782519116,23.1541666667
1298.0,27.1895434038,31.6
1299.0,51.3440452535,35.7916666667
1300.0,39.9130382017,16.2583333333
1301.0,34.7990277872,40.6458333333
1302.0,57.6838508507,45.9541666667
1303.0,58.9464584448,70.7583333333
1304.0,47.3281840049,53.8
1305.0,49.3036759238,96.0208333333
1306.0,52.8238663205,56.0333333333
1307.0,46.9303298819,49.1708333333
1308.0,41.7455243264,44.7541666667
1309.0,48.5545162183,40.7541666667
1310.0,40.5503333667,30.3708333333
1311.0,39.4559890005,27.9083333333
1312.0,29.8726371538,18.4041666667
1313.0,31.5584097118,24.0125
1314.0,26.565220484,28.4416666667
1315.0,31.9283159712,27.1333333333
1316.0,22.6884305524,21.7416666667
1317.0,30.5554756955,48.0875
1318.0,38.85475,38.3166666667
1319.0,52.9097378306,48.7166666667
1320.0,31.939782984,30.4041666667
1321.0,42.0432222097,29.1875
1322.0,31.8868697906,36.9041666667
1323.0,43.2212089131,27.7291666667
1324.0,33.7787413163,17.925
1325.0,30.0717864542,15.0625
1326.0,20.1899253503,22.1041666667
1327.0,24.6556579903,19.6583333333
1328.0,23.7051944653,7.175
1329.0,17.5982118118,33.9583333333
1330.0,29.8508506903,34.4041666667
1331.0,38.6207847274,42.2416666667
1332.0,25.3546666656,47.7458333333
1333.0,51.4204582938,155.979166667
1334.0,76.5447812146,186.045832917
1335.0,84.4455034889,73.8125
1336.0,44.1074351873,33.6916666667
1337.0,39.2762719855,109.862499167
1338.0,66.5906186957,51.3666666667
1339.0,58.5456256277,46.05
1340.0,56.5922500542,20.7541666667
1341.0,37.5227945894,47.4708333333
1342.0,45.5715549944,30.3819444444
1343.0,66.1300995527,24.7166666667
1344.0,26.9918385594,10.5916666667
1345.0,30.4225052073,27.4583333333
1346.0,30.2518263941,30.9958333333
1347.0,36.6647708271,24.1333333333
1348.0,21.3545156208,7.7125
1349.0,34.419229201,17.1833333333
1350.0,44.7777414674,22.3875
1351.0,30.4211649139,15.9166666667
1352.0,17.2021597118,7.7875
1353.0,21.1384114635,9.0625
1354.0,17.7719322917,18.2666666667
1355.0,20.8867170108,33.8875
1356.0,22.7708124979,22.375
